Time,Road_FR_mu,FR_x,FR_y,FR_z,Road_FL_mu,FL_x,FL_y,FL_z,Road_RR_mu,RR_x,RR_y,RR_z,Road_RL_mu,RL_x,RL_y,RL_z,Ax,Ay,long_slip_FL,long_slip_FR,long_slip_RL,long_slip_RR,lat_slip_FL,lat_slip_FR,lat_slip_RL,lat_slip_RR
0,0.8,0.918874716205208,339.424735025636,6243.09717752744,0.8,0.918875563733943,-339.424866225068,6243.0945166486,0.8,1.36942425714847,383.863102642675,4719.41366179014,0.8,1.36942393201456,-383.862990581876,4719.41145197675,-0.0757319378848532,7.78983551612492e-08,3.49506744933909e-06,3.49506349307105e-06,6.22450123880911e-06,6.22450053572859e-06,0.00257921020463163,-0.00257920867085953,0.00348010765043234,-0.0034801074483799
0.01,0.8,-126.201977533413,338.003647388169,6264.02856214128,0.8,-126.201954059224,-338.003640371159,6264.02647201782,0.8,-107.517900669218,382.358079349127,4746.97876988638,0.8,-107.517872596109,-382.357873330967,4746.9771561268,-0.280740672312112,2.09570589699167e-07,-0.000322381238460445,-0.000322381108745384,-0.000354428032315896,-0.000354428135349148,0.00255968750460514,-0.00255968793812494,0.00344465800247382,-0.00344465963126983
0.02,0.8,-128.99450552526,337.988049262193,6274.69920504646,0.8,-128.994485663716,-337.987861178597,6274.69754777622,0.8,-97.3304182762574,381.985881527404,4753.52759615235,0.8,-97.3303630852571,-381.985547553807,4753.52635889195,-0.277681528060573,3.67550252553942e-07,-0.000478442003652408,-0.000478441971907051,-0.000453340334007623,-0.00045334046142877,0.00256501840241749,-0.00256502010245409,0.00344538875191702,-0.00344539160117504
0.03,0.8,-111.084457682047,339.168238420585,6278.22476384696,0.8,-111.084445575515,-339.167927894233,6278.2234316317,0.8,-77.4054722144185,382.208054971456,4753.23040018335,0.8,-77.4054281122331,-382.20763944161,4753.22943470556,-0.243805936822829,4.37331089006057e-07,-0.000409948010920657,-0.000409948010330887,-0.000332200491777678,-0.0003322006333706,0.00257540026062145,-0.00257540271739042,0.00344702894226846,-0.0034470324414773
0.04,0.8,-87.0298647795807,340.392200920523,6276.89661452521,0.8,-87.029856431827,-340.39182074305,6276.89555236344,0.8,-51.0122482128715,382.015508707971,4754.38329961928,0.8,-51.0122171257247,-382.01505831077,4754.38256290575,-0.199578457047636,4.54010607858741e-07,-0.000322371302338672,-0.000322371309738239,-0.00021475823126628,-0.000214758337344997,0.00258391667886526,-0.00258391953499621,0.00344274604313516,-0.00344274978399611
0.05,0.8,-65.8747955907268,341.163220575353,6272.91631242475,0.8,-65.8747899886353,-341.162811227022,6272.91548986217,0.8,-28.716181467836,381.614712552609,4756.09905337728,0.8,-28.7161601218107,-381.61426394615,4756.09852007602,-0.161242034784876,4.39702917069403e-07,-0.00023727997711202,-0.000237279983556744,-0.000122059752712111,-0.000122059830474676,0.00258853724074247,-0.00258854022591602,0.00343800137747986,-0.00343800506318205
0.06,0.8,-51.0767764940694,341.449481227392,6267.43092266719,0.8,-51.0767728108353,-341.449073626585,6267.43031936357,0.8,-9.64600739672201,381.275443766552,4757.37650074191,0.8,-9.64599401093029,-381.275023865336,4757.37615059759,-0.131707516313645,4.0480312573597e-07,-0.000190226824987938,-0.000190226829472148,-4.31004244109594e-05,-4.3100475852432e-05,0.00259003136163561,-0.00259003427250086,0.00343471820031695,-0.00343472161920249
0.07,0.8,-39.7541095710042,341.363265008252,6261.45355713012,0.8,-39.7541079527414,-341.362882508545,6261.45315577351,0.8,3.64973752719622,381.053336059496,4757.73561748572,0.8,3.64974444615401,-381.052963630848,4757.73543182228,-0.110171484501158,3.55544125434753e-07,-0.000153356356934015,-0.000153356357375037,1.27858220288921e-05,1.27857965321173e-05,0.00258942284265987,-0.00258942552902747,0.00343305512207501,-0.00343305812948434
0.08,0.8,-32.3121643677642,341.075707718462,6255.42503409736,0.8,-32.3121647937349,-341.075366836938,6255.42481753219,0.8,12.3470763345766,380.925700750165,4756.95332035657,0.8,12.3470779971832,-380.925388010595,4756.95328111808,-0.0959675540791209,2.96986419403799e-07,-0.000127933914722308,-0.000127933909891942,4.93293299854649e-05,4.9329327905248e-05,0.0025879511715139,-0.00258795353016931,0.00343264874040662,-0.00343265124415639
0.09,0.8,-27.6663103388007,340.731430576629,6249.54318584185,0.8,-27.6663126393112,-340.731142036825,6249.54313619055,0.8,17.8293381800919,380.840106701144,4755.1652258153,0.8,17.8293355193537,-380.839860701089,4755.16531531175,-0.0869638907592622,2.33246476600697e-07,-0.000111361403713848,-0.000111361393359647,7.29801947562397e-05,7.29802129988203e-05,0.00258650282569277,-0.00258650479237176,0.00343292697762248,-0.00343292892614361
0.1,0.8,-24.696696089514,340.427372795497,6243.86335162489,0.8,-24.6967000133275,-340.427142712601,6243.86345029834,0.8,21.3755470953326,380.755951347183,4752.68678000121,0.8,21.375540894172,-380.755775114111,4752.68698089687,-0.0810909181281177,1.67617396473826e-07,-0.000100257887279189,-0.000100257871921232,8.90623188116367e-05,8.90623542153158e-05,0.0025856145267712,-0.00258561606826846,0.0034334553892106,-0.00343345676225804
0.11,0.8,-22.5391469488247,340.216717400598,6238.37862519854,0.8,-22.5391522317405,-340.216547928375,6238.37885318853,0.8,23.9719431093205,380.657517082569,4749.86994217125,0.8,23.9719340545975,-380.657410548973,4749.8702375704,-0.076749650652873,1.02855116472458e-07,-9.17479968686508e-05,-9.17479772571763e-05,0.000101500909270946,0.000101500958811254,0.00258554037378013,-0.00258554148259485,0.00343401763004752,-0.00343401843138502
0.12,0.8,-20.624124828735,340.120499508623,6233.06846268082,0.8,-20.6241312040086,-340.120389999779,6233.06880094408,0.8,26.246260522969,380.549917839393,4747.016985309,0.8,26.2462492236393,-380.549878589407,4747.01735888017,-0.0729031310204465,4.09780665472819e-08,-8.38661743844776e-05,-8.38661513126487e-05,0.000112734788486688,0.000112734849415664,0.00258634316932807,-0.00258634385590314,0.00343457396541563,-0.00343457421709397
