Time,e_y,e_yaw,e_yawrate,e_beta
0,-7.57870211032241e-09,4.06005699178523e-10,0,0
0.01,-7.64067209502173e-09,4.10908778490831e-10,5.78698841470873e-10,-6.22660637139619e-11
0.02,-7.81373543645714e-09,4.15008525134265e-10,1.00186860342248e-09,-2.036703702157e-10
0.03,-8.08239786209697e-09,4.17330597148125e-10,1.45938723570625e-09,-3.98989345546689e-10
0.04,-8.40952907310566e-09,4.19280349400296e-10,1.96573597819953e-09,-6.23020495184037e-10
0.05,-8.75767636188129e-09,4.21517669384629e-10,2.47365577380873e-09,-8.57209083420975e-10
0.06,-9.07651376280683e-09,4.25529103292271e-10,2.93863210589865e-09,-1.08783356868915e-09
0.07,-9.33449229023608e-09,4.31681246363565e-10,3.33051261121385e-09,-1.30460239861914e-09
0.08,-9.50417078371402e-09,4.39723734564452e-10,3.63164562957509e-09,-1.49995044441616e-09
0.09,-9.56841450516777e-09,4.50577125115952e-10,3.83430818898923e-09,-1.66861350019677e-09
0.1,-9.517244770052e-09,4.63086403755993e-10,3.93742853020548e-09,-1.8072766811716e-09
0.11,-9.3573691017923e-09,4.77879887499921e-10,3.94418175369086e-09,-1.91425133665914e-09
0.12,-9.0930720730853e-09,4.93335817631017e-10,3.86046605249399e-09,-1.98916518691515e-09
0.13,-8.74654659810403e-09,5.10058498323236e-10,3.69395016667154e-09,-2.03268667074283e-09
0.14,-8.33151059254078e-09,5.26033577779667e-10,3.45349840576288e-09,-2.04628023860639e-09
0.15,-7.87610687780216e-09,5.4199701401954e-10,3.14878750824329e-09,-2.03200350895988e-09
0.16,-7.39683514439093e-09,5.558278069486e-10,2.79010845504926e-09,-1.99233216805506e-09
0.17,-6.92015866832207e-09,5.68378365733884e-10,2.38810958086899e-09,-1.93002200574944e-09
0.18,-6.46041620200322e-09,5.7750074669888e-10,1.95365986294446e-09,-1.84798936948114e-09
0.19,-6.03634919826845e-09,5.84347472169468e-10,1.49760031234148e-09,-1.74922084504748e-09
0.2,-5.65660318585515e-09,5.86977310052858e-10,1.03061343343417e-09,-1.63669282996809e-09
0.21,-5.32861132995777e-09,5.8702036588325e-10,5.62948459764975e-10,-1.5133163069496e-09
0.22,-5.05324049271394e-09,5.82810082877698e-10,1.0428649834664e-10,-1.38188528149648e-09
0.23,-4.82879780605572e-09,5.76284770212939e-10,-3.36554603179878e-10,-1.2450476259695e-09
0.24,-4.65040628228053e-09,5.66048311038384e-10,-7.51725020848692e-10,-1.10527335199007e-09
0.25,-4.51065940154649e-09,5.54187429172465e-10,-1.13458573096667e-09,-9.64841121063359e-10
0.26,-4.40163727688514e-09,5.39471850709963e-10,-1.47973494707264e-09,-8.25818602054694e-10
0.27,-4.3139181116203e-09,5.24040257626314e-10,-1.78315690488197e-09,-6.90058528040664e-10
0.28,-4.23920720749038e-09,5.06719675132284e-10,-2.04215079024374e-09,-5.59187083171344e-10
0.29,-4.16874090802821e-09,4.89594962278804e-10,-2.25538190329845e-09,-4.34606792116127e-10
0.3,-4.09625666719649e-09,4.71515215508962e-10,-2.42272167623273e-09,-3.17491215691388e-10
0.31,-4.01527699978033e-09,4.54362017108213e-10,-2.54521937240112e-09,-2.08793512965913e-10
0.32,-3.92278742822327e-09,4.37039527751741e-10,-2.62488021622151e-09,-1.09246769771216e-10
0.33,-3.81491904732911e-09,4.21140377893864e-10,-2.66458206788368e-09,-1.93772523620355e-11
0.34,-3.69253871923547e-09,4.05567955339639e-10,-2.66740476008802e-09,6.05042829702223e-11
0.35,-3.55318796607662e-09,3.9167018964804e-10,-2.63758993431965e-09,1.30249771177341e-10
0.36,-3.40193295755853e-09,3.78373856377685e-10,-2.57974133031715e-09,1.89876552157831e-10
0.37,-3.23607274310689e-09,3.66928426772543e-10,-2.47904918299014e-09,2.40989965466371e-10
0.38,-3.05807912326372e-09,3.5677481229492e-10,-2.38284429358439e-09,2.82994482331941e-10
0.39,-2.87576984447924e-09,3.47156814598389e-10,-2.27423579171827e-09,3.17468068828182e-10
0.4,-2.6849056311562e-09,3.38934976997479e-10,-2.15334615339897e-09,3.45374684944404e-10
0.41,-2.4976500867524e-09,3.31100300604346e-10,-2.02301669345974e-09,3.66593900048704e-10
0.42,-2.30676366896887e-09,3.24331137866607e-10,-1.88768290575953e-09,3.80816132114854e-10
0.43,-2.12479989158965e-09,3.1779484496698e-10,-1.75134053918603e-09,3.87965904702487e-10
0.44,-1.94143634502097e-09,3.11998714807841e-10,-1.61687764090812e-09,3.88268379476444e-10
0.45,-1.76960490705369e-09,3.06305112540496e-10,-1.4861684218394e-09,3.82182453054844e-10
0.46,-1.59658686271769e-09,3.0109295184488e-10,-1.36055936743979e-09,3.70305227589653e-10
0.47,-1.43559120147074e-09,2.95924894769629e-10,-1.24113029994233e-09,3.53310335514261e-10
0.48,-1.27233601432408e-09,2.90996239572116e-10,-1.12890331583145e-09,3.31905492542565e-10
0.49,-1.12040332567176e-09,2.86086043055135e-10,-1.02479376214339e-09,3.06815398450161e-10
0.5,-9.64633706246332e-10,2.81245493870736e-10,-9.29624901866007e-10,2.78764467491819e-10
0.51,-8.19230905335644e-10,2.76421279916602e-10,-8.44036541362662e-10,2.48468696914452e-10
0.52,-6.68705091300126e-10,2.71533828783529e-10,-7.68515534924235e-10,2.16621344763633e-10
0.53,-5.28147303668902e-10,2.66609029914279e-10,-7.0334799666375e-10,1.83885601452126e-10
0.54,-3.81985110209371e-10,2.61484090170065e-10,-6.48671880575589e-10,1.50882566829374e-10
0.55,-2.46104470136288e-10,2.56302778339755e-10,-6.04440045882721e-10,1.18186799236975e-10
0.56,-1.05004005490628e-10,2.50810108840929e-10,-5.70473335090691e-10,8.63177158580584e-11
0.57,2.47348808102288e-11,2.45176285203113e-10,-5.46428754888972e-10,5.57380008964458e-11
0.58,1.58669521965749e-10,2.39120741694157e-10,-5.31847295076062e-10,2.68483692247951e-11
0.59,2.79735345998233e-10,2.32854103572792e-10,-5.26747517865762e-10,-3.31993815740316e-14
0.6,4.03699296214199e-10,2.26068070884874e-10,-5.29775341207946e-10,-2.46055736781758e-11
0.61,5.13174391869597e-10,2.19004770669436e-10,-5.40038980282435e-10,-4.66483822299479e-11
0.62,6.24376994551312e-10,2.11377432466773e-10,-5.56655175799195e-10,-6.60081840505923e-11
0.63,7.20180359792266e-10,2.03436872744793e-10,-5.74549472615321e-10,-8.21798456146721e-11
0.64,8.17029111033207e-10,1.94886747223914e-10,-6.03980687287062e-10,-9.56172055578482e-11
0.65,8.97651730724647e-10,1.8597540607034e-10,-6.35860732722836e-10,-1.05932161664083e-10
0.66,9.78882752633581e-10,1.76440426969993e-10,-6.67579933474838e-10,-1.13179239472695e-10
0.67,1.05238129322061e-09,1.66450056664751e-10,-6.9885089927354e-10,-1.17595317542784e-10
0.68,1.10970432842805e-09,1.5611617377781e-10,-7.28900135823774e-10,-1.19443161103007e-10
0.69,1.16845910724805e-09,1.45294283550404e-10,-7.58107601193911e-10,-1.18903731908843e-10
0.7,1.21223564519823e-09,1.34203920535632e-10,-7.85828187548278e-10,-1.16241170713292e-10
0.71,1.25852306354091e-09,1.22687131157223e-10,-8.12381331919301e-10,-1.11699264847706e-10
0.72,1.29137500692877e-09,1.10988320988507e-10,-8.3654514510391e-10,-1.05584720289309e-10
0.73,1.32792088436418e-09,9.89266775002653e-11,-8.57067535459208e-10,-9.82149758815371e-11
0.74,1.35271527312852e-09,8.68123737956063e-11,-8.72992411294175e-10,-8.98902799535987e-11
0.75,1.38226141643827e-09,7.44500141394468e-11,-8.83701919302007e-10,-8.08866652416287e-11
0.76,1.40153755268102e-09,6.21600885327333e-11,-8.88816448480475e-10,-7.14510906668397e-11
0.77,1.4262475644955e-09,4.9747775080191e-11,-8.88173494702602e-10,-6.18041677158095e-11
0.78,1.44180578587338e-09,3.75528830069433e-11,-8.81748569980426e-10,-5.21387705669425e-11
0.79,1.4631540423693e-09,2.53291605012042e-11,-8.69662484361754e-10,-4.26234737764163e-11
0.8,1.47607437384067e-09,1.34308319622241e-11,-8.52124477258988e-10,-3.34014647964213e-11
0.81,1.49481316213951e-09,1.60790693171481e-12,-8.29444229387153e-10,-2.459361041999e-11
0.82,1.50554946287684e-09,-9.78290618601371e-12,-8.01983393054799e-10,-1.62976340438872e-11
0.83,1.52194523650451e-09,-2.1016693813457e-11,-7.7017023927037e-10,-8.59137414672756e-12
0.84,1.530506388292e-09,-3.17360345803092e-11,-7.34456663867407e-10,-1.53235850618945e-12
0.85,1.54440282784662e-09,-4.22522348429546e-11,-6.95332325775704e-10,4.83891669686659e-12
0.86,1.55060231321613e-09,-5.21814831565528e-11,-6.53285781761368e-10,1.04991661661372e-11
0.87,1.56175605781073e-09,-6.18601370649423e-11,-6.0819225931695e-10,1.54611649268991e-11
0.88,1.56523505268069e-09,-7.09014653667138e-11,-5.61183440604219e-10,1.97047994782651e-11
0.89,1.57337254336198e-09,-7.96562676288305e-11,-5.12800803429828e-10,2.32411633725461e-11
0.9,1.57396584654634e-09,-8.77508066963253e-11,-4.6347695953095e-10,2.60975069432858e-11
0.91,1.57888901952674e-09,-9.55450021091348e-11,-4.13637684391895e-10,2.83073218542577e-11
0.92,1.57640123177316e-09,-1.02673254441143e-10,-3.63672194514441e-10,2.99109014689299e-11
0.93,1.57807988898639e-09,-1.09464690673758e-10,-3.13513809711064e-10,3.09955346096643e-11
0.94,1.57251722754381e-09,-1.15618165562101e-10,-2.64728890887739e-10,3.15548259845947e-11
0.95,1.57096025077408e-09,-1.21440210132374e-10,-2.16763409547701e-10,3.16759691798538e-11
0.96,1.56242574433918e-09,-1.26655918818349e-10,-1.69606376527556e-10,3.14110771715462e-11
0.97,1.55785251365614e-09,-1.31535404692939e-10,-1.23588349584189e-10,3.07925332058153e-11
0.98,1.55183066397058e-09,-1.35951698975362e-10,-7.90667961396871e-11,2.9853442208661e-11
0.99,1.53933754631908e-09,-1.39791033932127e-10,-3.63264381766281e-11,2.86319710641367e-11
1,1.53067247765648e-09,-1.43327011358167e-10,4.44755323981166e-12,2.71710563839589e-11
1.01,1.51591894592684e-09,-1.46312203701597e-10,4.31010878096333e-11,2.55135866885347e-11
1.02,1.50486467731525e-09,-1.49031702757882e-10,7.96027078244943e-11,2.37005077430342e-11
1.03,1.48810919142761e-09,-1.51256243838987e-10,1.1397416176177e-10,2.17706070206914e-11
1.04,1.47500056613126e-09,-1.53227325245685e-10,1.46216218056099e-10,1.97609939209722e-11
1.05,1.45655665306776e-09,-1.54723241957116e-10,1.76324245153235e-10,1.77089176769427e-11
1.06,1.44158018855478e-09,-1.5603143338677e-10,2.04284341276736e-10,1.56493732997884e-11
1.07,1.42160594407414e-09,-1.56884058022386e-10,2.30104468059251e-10,1.3615265472392e-11
1.08,1.40493572331479e-09,-1.57579843095181e-10,2.53803998722209e-10,1.16359994569368e-11
1.09,1.38353772882738e-09,-1.57882751387879e-10,2.7542524156263e-10,9.73791372228063e-12
1.1,1.3653469466135e-09,-1.58041340953008e-10,2.95018661481714e-10,7.9433460506341e-12
1.11,1.34268596241327e-09,-1.57858402429387e-10,3.12654503227675e-10,6.27142957934334e-12
1.12,1.32306166023e-09,-1.57568439261965e-10,3.28406581942663e-10,4.73713854781466e-12
1.13,1.29926647218781e-09,-1.56967048606996e-10,3.42364711170699e-10,3.35227778740307e-12
1.14,1.2784457936732e-09,-1.56284462537033e-10,3.54620429261113e-10,2.12475292538769e-12
1.15,1.25376686810341e-09,-1.55325055743421e-10,3.65276328682737e-10,1.05946301018211e-12
1.16,1.23194698886664e-09,-1.54316001440133e-10,3.74433177238822e-10,1.5772330208058e-13
1.17,1.20656284963161e-09,-1.53068775933311e-10,3.82199108776751e-10,-5.81748841310233e-13
1.18,1.18401732862594e-09,-1.51782308387615e-10,3.88678310906009e-10,-1.16320529784786e-12
1.19,1.15822729185311e-09,-1.50291321574835e-10,3.9397992694366e-10,-1.59289764379414e-12
1.2,1.1352065953929e-09,-1.48802476313782e-10,3.98404625611357e-10,-1.86393140628261e-12
1.21,1.10927977914344e-09,-1.47110726962089e-10,4.01533400727825e-10,-2.0052441134285e-12
1.22,1.08610187510294e-09,-1.4542723253837e-10,4.03765200965949e-10,-2.01537117672411e-12
1.23,1.06026920576596e-09,-1.43592721693739e-10,4.05340128342631e-10,-1.90318774867849e-12
1.24,1.03724406841366e-09,-1.41756133446004e-10,4.06308985708035e-10,-1.68978718961146e-12
1.25,1.01182351386342e-09,-1.39795344825582e-10,4.06696581116794e-10,-1.39676423019374e-12
1.26,9.89125226169563e-10,-1.37847424765564e-10,4.06535364304647e-10,-1.04406549139562e-12
1.27,9.66629443155398e-10,-1.35852944211437e-10,4.05877062287765e-10,-6.49055984241109e-13
1.28,9.42106836987477e-10,-1.33735372322038e-10,4.04773604528382e-10,-2.27441470044864e-13
1.29,9.20187481767698e-10,-1.31659830937198e-10,4.03274697992077e-10,2.06772239725623e-13
1.3,8.96445584430694e-10,-1.29473219182182e-10,4.01411243953945e-10,6.40164298128534e-13
1.31,8.75197692096208e-10,-1.27340818419182e-10,3.99242934017455e-10,1.06145802914024e-12
1.32,8.52309334220536e-10,-1.250979075345e-10,3.96824297080361e-10,1.4604488345753e-12
1.33,8.31819946256473e-10,-1.22920056529399e-10,3.94186391624227e-10,1.82916353463273e-12
1.34,8.09801115053688e-10,-1.20647688250709e-10,3.91350845304019e-10,2.16183575937237e-12
1.35,7.90078225065827e-10,-1.18424158925773e-10,3.88330441516558e-10,2.45431389492087e-12
1.36,7.68940466855383e-10,-1.16129654656126e-10,3.85135660343021e-10,2.70407268904794e-12
1.37,7.49971640345848e-10,-1.13885600636944e-10,3.81771144893271e-10,2.90963557789437e-12
1.38,7.29721172376685e-10,-1.11575539803255e-10,3.78242528624849e-10,3.07080560880891e-12
1.39,7.11499303918117e-10,-1.09317888630565e-10,3.74551020988205e-10,3.18815356250237e-12
1.4,6.92075730057695e-10,-1.06998509956771e-10,3.70699393977213e-10,3.26318091295651e-12
1.41,6.74545752588074e-10,-1.04742817652322e-10,3.66687328917064e-10,3.29787971232308e-12
1.42,6.55942855587455e-10,-1.02429104998914e-10,3.62516452889477e-10,3.2948992869953e-12
1.43,6.3910388092836e-10,-1.001819731146e-10,3.58187348415628e-10,3.25721013731939e-12
1.44,6.21241724729771e-10,-9.78888507263721e-11,3.53702423982127e-10,3.18817762818093e-12
1.45,6.05088423810685e-10,-9.56390648696029e-11,3.49063635931182e-10,3.09128452910267e-12
1.46,5.88022963654566e-10,-9.33635635115448e-11,3.44275371468804e-10,2.9702279813719e-12
1.47,5.72502045770307e-10,-9.11528162200534e-11,3.39350658451779e-10,2.82849653872287e-12
1.48,5.56122259354197e-10,-8.89089920410383e-11,3.34320431300771e-10,2.67611792352983e-12
1.49,5.41233724504764e-10,-8.67340694382091e-11,3.29057230356233e-10,2.50885295096606e-12
1.5,5.25553822683378e-10,-8.45372356257092e-11,3.2367456945706e-10,2.33569244911042e-12
1.51,5.11328757113461e-10,-8.23868910244358e-11,3.18211795850008e-10,2.15985232919938e-12
1.52,4.96366503455192e-10,-8.02322320776458e-11,3.12667514883953e-10,1.98209968636079e-12
1.53,4.82760498243806e-10,-7.81366358828497e-11,3.07029680644865e-10,1.8027605979473e-12
1.54,4.69459138230377e-10,-7.60594077958837e-11,3.01295859487075e-10,1.62283332232515e-12
1.55,4.55493420759012e-10,-7.3981662721893e-11,2.95470545021316e-10,1.44371319605493e-12
1.56,4.42781811216264e-10,-7.19739391713573e-11,2.89563261122403e-10,1.266951982255e-12
1.57,4.29500879306488e-10,-6.9955606128917e-11,2.83588371633667e-10,1.09431791865651e-12
1.58,4.1741010647911e-10,-6.80028166767622e-11,2.77559822444193e-10,9.27390735339765e-13
1.59,4.04786426599912e-10,-6.60637823808206e-11,2.71490895729295e-10,7.67543986245323e-13
1.6,3.93279186994278e-10,-6.41678842053302e-11,2.65405969988587e-10,6.16493479433627e-13
1.61,3.81300324647782e-10,-6.22914213463264e-11,2.59304551202163e-10,4.76063384884294e-13
1.62,3.70393493653864e-10,-6.04710077885404e-11,2.53185828566052e-10,3.47402666707906e-13
1.63,3.59105634117896e-10,-5.86486668569286e-11,2.47056233681068e-10,2.31110776514976e-13
1.64,3.48779671810462e-10,-5.69044130824992e-11,2.40930773630894e-10,1.26881700148723e-13
1.65,3.37976757691649e-10,-5.51803664656441e-11,2.34825205827858e-10,3.40970159101149e-14
